title;price;location;time;url
Хs max 10 ідеал 200$;5 531 грн.;Стрый;Сегодня 22:01;https://www.olx.ua/obyavlenie/hs-max-10-deal-200-IDLfTmp.html#c4200fabe4
iPhone 7 128gb black neverlock;4 900 грн.;Луцк;Сегодня 22:00;https://www.olx.ua/obyavlenie/iphone-7-128gb-black-neverlock-IDLfTs4.html?sd=1#c4200fabe4
Iphone XR;12 200 грн.;Киев, Дарницкий;Сегодня 22:00;https://www.olx.ua/obyavlenie/iphone-xr-IDIQ6z2.html?sd=1#c4200fabe4
iPhone 5s 16gb Neverlock;1 199 грн.;Ровно;Сегодня 22:00;https://www.olx.ua/obyavlenie/iphone-5s-16gb-neverlock-IDK9kYt.html?sd=1#c4200fabe4
Продам IPhone 6 в хорошем состоянии;2 150 грн.;Одесса, Суворовский;Сегодня 21:59;"https://www.olx.ua/obyavlenie/prodam-iphone-6-v-horoshem-sostoyanii-IDLfTo6.html?sd=1#c4200fabe4;promoted"
Apple iPhone 11 Pro Max 256 Green Neverlock;26 500 грн.;Днепр, Центральный;Сегодня 21:59;https://www.olx.ua/obyavlenie/apple-iphone-11-pro-max-256-green-neverlock-IDLfTo1.html#c4200fabe4
Iphone 7 plus;6 999 грн.;Одесса, Приморский;Сегодня 21:58;https://www.olx.ua/obyavlenie/iphone-7-plus-IDLfTgE.html?sd=1#c4200fabe4
iPhone 6s 64 gold;3 600 грн.;Харьков, Основянский;Сегодня 21:58;https://www.olx.ua/obyavlenie/iphone-6s-64-gold-IDLfTkQ.html?sd=1#c4200fabe4
Iphone 11 Pro 64gb Midnigcht green Neverlock;20 000 грн.;Киев, Дарницкий;Сегодня 21:58;https://www.olx.ua/obyavlenie/iphone-11-pro-64gb-midnigcht-green-neverlock-IDL1ZwC.html?sd=1#c4200fabe4
Продаю IPhone 12 Pro 128gb Blue Pacific Neverlock;28 500 грн.;Киев, Оболонский;Сегодня 21:57;https://www.olx.ua/obyavlenie/prodayu-iphone-12-pro-128gb-blue-pacific-neverlock-IDL5aP0.html#c4200fabe4
Iphone 7 32 gb, не активируется;2 000 грн.;Запорожье, Днепровский;Сегодня 21:56;https://www.olx.ua/obyavlenie/iphone-7-32-gb-ne-aktiviruetsya-IDK272n.html?sd=1#c4200fabe4
Iphone 7 128Gb Neverlock;4 700 грн.;Киев, Оболонский;Сегодня 21:56;https://www.olx.ua/obyavlenie/iphone-7-128gb-neverlock-IDKwOQH.html?sd=1#c4200fabe4
Iphone XS max;13 500 грн.;Борисполь;Сегодня 21:56;https://www.olx.ua/obyavlenie/iphone-xs-max-IDLfTg5.html?sd=1#c4200fabe4
IPhone 6s Plus 32GB Rose Gold R-Sim;3 500 грн.;Николаев, Ингульский;Сегодня 21:56;https://www.olx.ua/obyavlenie/iphone-6s-plus-32gb-rose-gold-r-sim-IDLfTfv.html?sd=1#c4200fabe4
IPhone 8 Plus 64gb Gold Neverlock;8 000 грн.;Киев, Оболонский;Сегодня 21:56;https://www.olx.ua/obyavlenie/iphone-8-plus-64gb-gold-neverlock-IDL0vIA.html?sd=1#c4200fabe4
Корпус iphone 11 pro max оригинал;5 000 грн.;Мукачево;Сегодня 21:55;"https://www.olx.ua/obyavlenie/korpus-iphone-11-pro-max-original-IDLfEqf.html?sd=1#c4200fabe4;promoted"
Оригинальный iPhone 11 64/128gb 18500грн;18 500 грн.;Киев, Оболонский;Вчера 14:15;"https://www.olx.ua/obyavlenie/originalnyy-iphone-11-64-128gb-18500grn-IDLbS5i.html#2243534233;promoted"
IPhone SE 16-32-64GB Rose Gold Neverlock /чистый /айфон се бу /комплек;2 699 грн.;Киев, Соломенский;Вчера 13:25;"https://www.olx.ua/obyavlenie/iphone-se-16-32-64gb-rose-gold-neverlock-chistyy-ayfon-se-bu-komplek-IDKQhcL.html?sd=1#2243534233;promoted"
Iphone 8+;8 000 грн.;Буча;Вчера 14:58;"https://www.olx.ua/obyavlenie/iphone-8-IDL9deg.html?sd=1#2243534233;promoted"
iPhone 7 32 GB С гарантией 3 месяца + РАССРОЧКА ПОД 0 %;4 840 грн.;Винница, Замостянский;5  апр.;"https://www.olx.ua/obyavlenie/iphone-7-32-gb-s-garantiey-3-mesyatsa-rassrochka-pod-0-IDJO5Dv.html#2243534233;promoted"
iPhone 8 Plus вживані !Гарантія!Ковель! Луцьк!;8 690 грн.;Ковель;29  март;"https://www.olx.ua/obyavlenie/iphone-8-plus-vzhivan-garantya-kovel-lutsk-IDsbNOk.html?sd=1#2243534233;promoted"
Iphone 8 64 gb;5 500 грн.;Хмельницкий;Сегодня 21:55;https://www.olx.ua/obyavlenie/iphone-8-64-gb-IDLfTey.html?sd=1#2243534233
IPhone 11 Pro Max 512gb Space Gray Европеец;24 500 грн.;Киев, Оболонский;Сегодня 21:55;https://www.olx.ua/obyavlenie/iphone-11-pro-max-512gb-space-gray-evropeets-IDL64Sr.html?sd=1#2243534233
Apple iPhone 11 64 Gb Новый.;17 000 грн.;Киев, Святошинский;Сегодня 21:54;https://www.olx.ua/obyavlenie/apple-iphone-11-64-gb-novyy-IDLfTbn.html?sd=1#2243534233
Iphone Xs Max 64 (MDM) Neverlock;11 891 грн.;Малехов;Сегодня 21:54;https://www.olx.ua/obyavlenie/iphone-xs-max-64-mdm-neverlock-IDLfTaQ.html#2243534233
iPhone xr;13 000 грн.;Забороль;Сегодня 21:54;https://www.olx.ua/obyavlenie/iphone-xr-IDLfTaG.html?sd=1#2243534233
Iphone XR dual sim 64 gb;11 000 грн.;Киев, Шевченковский;Сегодня 21:54;https://www.olx.ua/obyavlenie/iphone-xr-dual-sim-64-gb-IDLfT9x.html?sd=1#2243534233
Новый Apple IPhone 11 64GB/128GB  Гарантия 1 год;18 667 грн.;Николаев, Центральный;Сегодня 21:53;https://www.olx.ua/obyavlenie/novyy-apple-iphone-11-64gb-128gb-garantiya-1-god-IDKRmEI.html#2243534233
iPhone X 64GB\256GB Neverlock Идеал. Гарантия 3 месяца!;9 900 грн.;Киев, Оболонский;Сегодня 21:53;"https://www.olx.ua/obyavlenie/iphone-x-64gb-256gb-neverlock-ideal-garantiya-3-mesyatsa-IDFnUYv.html?sd=1#2243534233;promoted"
Идеал iPhone XR 64GB RED\Black (64gb\128gb) Гарантия 3 мес от магазина;10 700 грн.;Киев, Оболонский;Сегодня 21:53;"https://www.olx.ua/obyavlenie/ideal-iphone-xr-64gb-red-black-64gb-128gb-garantiya-3-mes-ot-magazina-IDBXwjj.html#2243534233;promoted"
Продам iphone 6 16;1 100 грн.;Куйбышево;Сегодня 21:53;https://www.olx.ua/obyavlenie/prodam-iphone-6-16-IDKUGbX.html?sd=1#2243534233
Продам iphone xs max 64gb;11 000 грн.;Винница, Ленинский;Сегодня 21:53;https://www.olx.ua/obyavlenie/prodam-iphone-xs-max-64gb-IDLfT8f.html?sd=1#2243534233
iPhone 5S neverlock 16GB на запчасти + вторая батарея;460 грн.;Львов, Железнодорожный;Сегодня 21:52;https://www.olx.ua/obyavlenie/iphone-5s-neverlock-16gb-na-zapchasti-vtoraya-batareya-IDIuRaE.html?sd=1#2243534233
iPhone 7/32 a1660 r-sim;4 000 грн.;Винница, Старогородской;Сегодня 21:52;https://www.olx.ua/obyavlenie/iphone-7-32-a1660-r-sim-IDJ69Ld.html?sd=1#2243534233
Iphone X 64 gb;10 000 грн.;Косовщина;Сегодня 21:52;"https://www.olx.ua/obyavlenie/iphone-x-64-gb-IDKRzoa.html?sd=1#2243534233;promoted"
iPhone 5, Black, 16GB (с бампером);1 000 грн.;Харьков, Шевченковский;Сегодня 21:52;https://www.olx.ua/obyavlenie/iphone-5-black-16gb-s-bamperom-IDLfT2G.html?sd=1#2243534233
iPhone Xr 128gb Blue Neverlock;11 900 грн.;Харьков, Шевченковский;Сегодня 21:51;https://www.olx.ua/obyavlenie/iphone-xr-128gb-blue-neverlock-IDLfSZA.html?sd=1#2243534233
Iphone X 256 GB Neverlock;13 000 грн.;Львов, Галицкий;Сегодня 21:51;"https://www.olx.ua/obyavlenie/iphone-x-256-gb-neverlock-IDLfSNf.html?sd=1#2243534233;promoted"
iPhone 6S 32GB activation lock;1 300 грн.;Львов, Железнодорожный;Сегодня 21:51;https://www.olx.ua/obyavlenie/iphone-6s-32gb-activation-lock-IDK2GDO.html?sd=1#2243534233
"iPhone 5s;Айфон 5s";Обмен;Мариуполь;Сегодня 21:50;https://www.olx.ua/obyavlenie/iphone-5sayfon-5s-IDJX8Lg.html#2243534233
Продам айфон 5s, или обменяю;Обмен;Мариуполь;Сегодня 21:50;https://www.olx.ua/obyavlenie/prodam-ayfon-5s-ili-obmenyayu-IDIGVM6.html#2243534233
Iphone XS в пленках 64 гб! Neverlock без предоплаты;7 490 грн.;Киев, Подольский;Сегодня 21:49;https://www.olx.ua/obyavlenie/iphone-xs-v-plenkah-64-gb-neverlock-bez-predoplaty-IDLfSVi.html?sd=1#2243534233
iPhone XS 64 GB Gold;11 000 грн.;Харьков, Шевченковский;Сегодня 21:49;https://www.olx.ua/obyavlenie/iphone-xs-64-gb-gold-IDLfSY1.html?sd=1#2243534233
Продам iPhone 5s на 16 гб.;1 500 грн.;Винница, Ленинский;Сегодня 21:49;https://www.olx.ua/obyavlenie/prodam-iphone-5s-na-16-gb-IDLfSXk.html?sd=1#2243534233
Iphone xs icloud lock;5 000 грн.;Глыбокая;Сегодня 21:48;https://www.olx.ua/obyavlenie/iphone-xs-icloud-lock-IDKSPnA.html#2243534233
Продам новый iphone 12 pro на 256 гб;36 000 грн.;Белая Церковь;Сегодня 21:47;"https://www.olx.ua/obyavlenie/prodam-novyy-iphone-12-pro-na-256-gb-IDKnUnA.html#2243534233;promoted"
iPhone 11 red 128gb;14 000 грн.;Евпатория;Сегодня 21:46;https://www.olx.ua/obyavlenie/iphone-11-red-128gb-IDLfSIm.html?sd=1#2243534233
iPhone 7, 32 GB, Neverlock, розбитий екран;2 900 грн.;Коломыя;Сегодня 21:45;https://www.olx.ua/obyavlenie/iphone-7-32-gb-neverlock-rozbitiy-ekran-IDLfSKF.html?sd=1#2243534233
Продам iphone 6S;4 148 грн.;Одесса, Киевский;Сегодня 21:45;"https://www.olx.ua/obyavlenie/prodam-iphone-6s-IDLepY4.html#2243534233;promoted"
iPhone 7, 32 gb, silver;4 000 грн.;Киев, Соломенский;Сегодня 21:44;https://www.olx.ua/obyavlenie/iphone-7-32-gb-silver-IDLfSJ6.html?sd=1#2243534233
Iphone X 64Gb Space Gray/Black;11 100 грн.;Львов, Галицкий;Сегодня 21:44;https://www.olx.ua/obyavlenie/iphone-x-64gb-space-gray-black-IDL9MK6.html?sd=1#2243534233
Iphone 7 black 32 gb;3 300 грн.;Днепр, Центральный;Сегодня 21:44;https://www.olx.ua/obyavlenie/iphone-7-black-32-gb-IDKUHx6.html?sd=1#2243534233
Айфон iPhone 12 Mini 128GB Blue;19 635 грн.;Одесса, Киевский;Сегодня 21:44;https://www.olx.ua/obyavlenie/ayfon-iphone-12-mini-128gb-blue-IDLfSIE.html#2243534233
iPhone 7 Plus 128GB Gold Идеал;7 400 грн.;Одесса, Киевский;Сегодня 21:43;https://www.olx.ua/obyavlenie/iphone-7-plus-128gb-gold-ideal-IDLfSCG.html?sd=1#2243534233
iPhone XS Max, 64Gb Neverlock!;14 400 грн.;Киев, Святошинский;Сегодня 21:41;https://www.olx.ua/obyavlenie/iphone-xs-max-64gb-neverlock-IDLfSDz.html?sd=1#2243534233
Iphone 12 pro MAX 512gb NEW!!!;48 000 грн.;Винница, Замостянский;Сегодня 21:40;https://www.olx.ua/obyavlenie/iphone-12-pro-max-512gb-new-IDLfSr9.html#2243534233
iPhone 7 Plus 128Gb;6 500 грн.;Львов, Франковский;Сегодня 21:37;"https://www.olx.ua/obyavlenie/iphone-7-plus-128gb-IDL4V0t.html?sd=1#2243534233;promoted"
Продам iphone 5 в отличном состоянии;2 000 грн.;Донецк, Кировский;Сегодня 21:36;https://www.olx.ua/obyavlenie/prodam-iphone-5-v-otlichnom-sostoyanii-IDLfSqA.html?sd=1#2243534233
iPhone 11 Pro, Silver, 64 Gb Neverlock! ocтаток 95%;20 800 грн.;Киев, Святошинский;Сегодня 21:35;https://www.olx.ua/obyavlenie/iphone-11-pro-silver-64-gb-neverlock-octatok-95-IDLfSp6.html?sd=1#2243534233
Iphone 6s gold 64 gb;2 600 грн.;Киев, Дарницкий;Сегодня 21:34;https://www.olx.ua/obyavlenie/iphone-6s-gold-64-gb-IDKUkwR.html?sd=1#2243534233
